"genus","species","acronym"
"Anthyllis","vulneraria","ANTVUL"
"Astragalus","cicer","ASTCIC"
"Astragalus","falcatus","ASTFAL"
"Astragalus","glycyphyllos","ASTGLY"
"Securigera","varia","SECVAR"
"Galega","officinalis","GALOFF"
"Hedysarum","hedysaroides","HEDHED"
"Lathyrus","sylvestris","LATSYL"
"Lathyrus","tuberosus","LATTUB"
"Lotus","corniculatus","LOTCOR"
"Lotus","pedunculatus","LOTPED"
"Medicago","falcata","MEDFAL"
"Medicago","lupulina","MEDLUP"
"Medicago","sativa","MEDSAT"
"Melilotus","albus","MELALB"
"Melilotus","altissimus","MELALT"
"Melilotus","dentatus","MELDEN"
"Melilotus","officinalis","MELOFF"
"Onobrychis","viciifolia","ONOVIC"
"Cytisus","scoparius","CYTSCO"
"Trifolium","hybridum","TRIHYB"
"Trifolium","pratense","TRIPRA"
"Trifolium","repens","TRIREP"
"Trifolium","pannonicum","TRIPAN"
"Ulex","europaeus","ULEEUR"
"Vicia","cracca","VICCRA"
"Vicia","hirsuta","VICHIR"
"Vicia","pannonica","VICPAN"
"Elymus","caninus","ELYCAN"
"Agropyron","cristatum","AGRCRI"
"Elymus","hispidus","ELYHIS"
"Elymus","repens","ELYREP"
"Agrostis","canina","AGRCAN"
"Agrostis","gigantea","AGRGIG"
"Agrostis","capillaris","AGRCAP"
"Alopecurus","pratensis","ALOPRA"
"Ammophila","arenaria","AMMARE"
"Anthoxanthum","odoratum","ANTODO"
"Arrhenatherum","elatius","ARRELA"
"Avena","fatua","AVEFAT"
"Bromus","erectus","BROERE"
"Bromus","inermis","BROINE"
"Cynosurus","cristatus","CYNCRI"
"Dactylis","glomerata","DACGLO"
"Digitaria","sanguinalis","DIGSAN"
"Festuca","arundinacea","FESARU"
"Festuca","ovina","FESOVI"
"Festuca","pratensis","FESPRA"
"Festuca","rubra","FESRUB"
"Glyceria","fluitans","GLYFLU"
"Holcus","lanatus","HOLLAN"
"Lolium","multiflorum","LOLMUL"
"Lolium","perenne","LOLPER"
"Phalaris","arundinacea","PHAARU"
"Phleum","pratense","PHLPRA"
"Poa","palustris","POAPAL"
"Poa","pratensis","POAPRA"
"Poa","trivialis","POATRI"
"Spartina","townsendii","SPATOW"
"Trisetum","flavescens","TRIFLA"
"Acorus","calamus","ACOCAL"
"Allium","ampeloprasum","ALLAMP"
"Allium","scorodoprasum","ALLSCO"
"Aristolochia","clematitis","ARICLE"
"Vincetoxicum","hirundinaria","VINHIR"
"Berberis","vulgaris","BERVUL"
"Arctium","lappa","ARCLAP"
"Cota","tinctoria","COTTIN"
"Artemisia","abrotanum","ARTABR"
"Artemisia","maritima","ARTMAR"
"Artemisia","absinthium","ARTABS"
"Artemisia","vulgaris","ARTVUL"
"Chamaemelum","nobile","CHANOB"
"Atriplex","hortensis","ATRHOR"
"Brassica","rapa","BRARAP"
"Brassica","napus","BRANAP"
"Brassica","nigra","BRANIG"
"Cochlearia","officinalis","COCOFF"
"Beta","vulgaris","BETVUL"
"Crambe","maritima","CRAMAR"
"Campanula","rapunculus","CAMRAP"
"Hesperis","matronalis","HESMAT"
"Nasturtium","officinale","NASOFF"
"Bryonia","alba","BRYALB"
"Bryonia","cretica","BRYCRED"
"Carex","arenaria","CARARE"
"Schoenoplectus","lacustris","SCHLAC"
"Carum","carvi","CARCAR"
"Chenopodium","bonus-henricus","CHEBON"
"Chenopodium","foliosum","CHEFOL"
"Chenopodium","album","CHEALB"
"Cichorium","intybus","CICINT"
"Sedum","rupestre","SEDRUP"
"Sempervivum","tectorum","SEMTEC"
"Barbarea","verna","BARVER"
"Barbarea","vulgaris","BARVUL"
"Armoracia","rusticana","ARMRUS"
"Humulus","lupulus","HUMLUP"
"Ribes","aciculare","RIBACI"
"Ribes","uva-crispa","RIBUVA"
"Ribes","nigrum","RIBNIG"
"Ribes","petraeum","RIBPET"
"Ribes","spicatum","RIBSPI"
"Juglans","regia","JUGREG"
"Rumex","acetosa","RUMACE"
"Rumex","alpinus","RUMALP"
"Rumex","obtusifolius","RUMOBT"
"Rumex","patientia","RUMPAT"
"Rumex","scutatus","RUMSCU"
"Portulaca","oleracea","POROLE"
"Aconitum","napellus","ACONAP"
"Rhamnus","cathartica","RHACAT"
"Frangula","alnus","FRAALN"
"Saponaria","officinalis","SAPOFF"
"Spergula","arvensis","SPEARV"
"Mentha","longifolia","MENLON"
"Mentha","spicata","MENSPI"
"Mentha","suaveolens","MENSUA"
"Mentha","villosa","MENVIL"
"Mentha","piperita","MENPIP"
"Nepeta","cataria","NEPCAT"
"Origanum","vulgare","ORIVUL"
"Asparagus","officinalis","ASPOFF"
"Convallaria","majalis","CONMAJ"
"Linum","usitatissimum","LINUSI"
"Prunus","sibirica","PRUSIB"
"Fragaria","ananassa","FRAANA"
"Fragaria","moschata","FRAMOS"
"Fragaria","vesca","FRAVES"
"Fragaria","viridis","FRAVIR"
"Malus","baccata","MALBAC"
"Malus","prunifolia","MALPRU"
"Malus","pumila","MALPUM"
"Prunus","cerasus","PRUCER"
"Prunus","domestica","PRUDOM"
"Prunus","fruticosa","PRUFRU"
"Prunus","domestica","PRUDOMI"
"Prunus","mahaleb","PRUMAH"
"Pyracantha","coccinea","PYRCOC"
"Pyrus","communis","PYRCOM"
"Pyrus","cordata","PYRCOR"
"Rosa","alba","ROSALB"
"Rosa","arvensis","ROSARV"
"Rosa","damascena","ROSDAM"
"Rosa","canina","ROSCAN"
"Rosa","gallica","ROSGAL"
"Rosa","rubiginosa","ROSRUB"
"Rosa","villosa","ROSVIL"
"Rubus","arcticus","RUBARC"
"Rubus","chamaemorus","RUBCHA"
"Rubus","idaeus","RUBIDA"
"Rubus","laciniatus","RUBLAC"
"Rubus","saxatilis","RUBSAX"
"Sanguisorba","minor","SANMIN"
"Sanguisorba","officinalis","SANOFF"
"Sorbus","domestica","SORDOM"
"Rubia","tinctorum","RUBTIN"
"Paeonia","officinalis","PAEOFF"
"Salix","acutifolia","SALACU"
"Salix","alba","SALALB"
"Salix","caprea","SALCAP"
"Salix","fragilis","SALFRA"
"Salix","purpurea","SALPUR"
"Salix","triandra","SALTRI"
"Salix","viminalis","SALVIM"
"Sambucus","nigra","SAMNIG"
"Bergenia","crassifolia","BERCRA"
"Digitalis","lanata","DIGLAN"
"Digitalis","purpurea","DIGPUR"
"Verbascum","densiflorum","VERDEN"
"Scopolia","carniolica","SCOCAR"
"Angelica","archangelica","ANGARC"
"Anthriscus","cerefolium","ANTCER"
"Bunium","bulbocastanum","BUNBUL"
"Chaerophyllum","bulbosum","CHABUL"
"Daucus","carota","DAUCAR"
"Levisticum","officinale","LEVOFF"
"Myrrhis","odorata","MYRODO"
"Pastinaca","sativa","PASSAT"
"Peucedanum","cervaria","PEUCER"
"Peucedanum","ostruthium","PEUOST"
"Valeriana","officinalis","VALOFFC"
"Valerianella","locusta","VALLOC"
"Valeriana","officinalis","VALOFF"
"Viola","tricolor","VIOTRI"
