"input_taxon","input_status","family","genus","hybrid_marker","species","infraspecific_rank","infraspecific","authority","taxonomic_status","acronym","taxa"
"Anthyllis vulneraria L.","Accepted","Leguminosae","Anthyllis","","vulneraria","","","L.","Accepted","ANTVUL","Anthyllis  vulneraria  "
"Astragalus cider L","Accepted","Leguminosae","Astragalus","","cicer","","","L.","Accepted","ASTCIC","Astragalus  cicer  "
"Astragalus falcatus Lam.","Accepted","Leguminosae","Astragalus","","falcatus","","","Lam.","Accepted","ASTFAL","Astragalus  falcatus  "
"Astragalus glycyphyllus L.","Accepted","Leguminosae","Astragalus","","glycyphyllos","","","L.","Accepted","ASTGLY","Astragalus  glycyphyllos  "
"Coronilla varia L.","Synonym","Leguminosae","Securigera","","varia","","","(L.) Lassen","Accepted","SECVAR","Securigera  varia  "
"Galega officinalis L.","Accepted","Leguminosae","Galega","","officinalis","","","L.","Accepted","GALOFF","Galega  officinalis  "
"Hedysarum hedysaroides Schinz. & Thell.","Accepted","Leguminosae","Hedysarum","","hedysaroides","","","(L.) Schinz & Thell.","Accepted","HEDHED","Hedysarum  hedysaroides  "
"Lathyrus sylvestris L","Accepted","Leguminosae","Lathyrus","","sylvestris","","","L.","Accepted","LATSYL","Lathyrus  sylvestris  "
"Lathyrus tuberosum L.","Accepted","Leguminosae","Lathyrus","","tuberosus","","","L.","Accepted","LATTUB","Lathyrus  tuberosus  "
"Lotus corniculatus L.","Accepted","Leguminosae","Lotus","","corniculatus","","","L.","Accepted","LOTCOR","Lotus  corniculatus  "
"Lotus uliginosus Schuhr.","Synonym","Leguminosae","Lotus","","pedunculatus","","","Cav.","Accepted","LOTPED","Lotus  pedunculatus  "
"Medicago falcata","Accepted","Leguminosae","Medicago","","falcata","","","L.","Accepted","MEDFAL","Medicago  falcata  "
"Medicago glomerata Balbis.","Accepted","Leguminosae","Medicago","","glomerata","","","Balb.","Accepted","MEDGLO","Medicago  glomerata  "
"Medicago lupulina L.","Accepted","Leguminosae","Medicago","","lupulina","","","L.","Accepted","MEDLUP","Medicago  lupulina  "
"Medicago sativa L","Accepted","Leguminosae","Medicago","","sativa","","","L.","Accepted","MEDSAT","Medicago  sativa  "
"Melilotus albus Medik.","Accepted","Leguminosae","Melilotus","","albus","","","Medik.","Accepted","MELALB","Melilotus  albus  "
"Melilotus altissimus Thuill.","Accepted","Leguminosae","Melilotus","","altissimus","","","Thuill.","Accepted","MELALT","Melilotus  altissimus  "
"Melilotus dentatus Pers.","Accepted","Leguminosae","Melilotus","","dentatus","","","(Waldst. & Kit.) Pers.","Accepted","MELDEN","Melilotus  dentatus  "
"Melilotus officinalis Lam.","Unresolved","Leguminosae","Melilotus","","officinalis","","","(L.) Lam.","Unresolved","MELOFF","Melilotus  officinalis  "
"Onobrychis vicifolia Scop.","Accepted","Leguminosae","Onobrychis","","viciifolia","","","Scop.","Accepted","ONOVIC","Onobrychis  viciifolia  "
"Sarothamnus scoparius Wimm.","Synonym","Leguminosae","Cytisus","","scoparius","","","(L.) Link","Accepted","CYTSCO","Cytisus  scoparius  "
"Trifolium hybridum L.","Accepted","Leguminosae","Trifolium","","hybridum","","","L.","Accepted","TRIHYB","Trifolium  hybridum  "
"Trifolium pratense L.","Accepted","Leguminosae","Trifolium","","pratense","","","L.","Accepted","TRIPRA","Trifolium  pratense  "
"Trifolium repens L.","Accepted","Leguminosae","Trifolium","","repens","","","L.","Accepted","TRIREP","Trifolium  repens  "
"Trifolium pannonicum Jacq.","Accepted","Leguminosae","Trifolium","","pannonicum","","","Jacq.","Accepted","TRIPAN","Trifolium  pannonicum  "
"Ulex europaeus L","Accepted","Leguminosae","Ulex","","europaeus","","","L.","Accepted","ULEEUR","Ulex  europaeus  "
"Vicia cracca L","Accepted","Leguminosae","Vicia","","cracca","","","L.","Accepted","VICCRA","Vicia  cracca  "
"Vicia hirsuta","Accepted","Leguminosae","Vicia","","hirsuta","","","(L.) Gray","Accepted","VICHIR","Vicia  hirsuta  "
"Vicia pannonica Crantz.","Accepted","Leguminosae","Vicia","","pannonica","","","Crantz","Accepted","VICPAN","Vicia  pannonica  "
"Agropyron caninum P.B.","Synonym","Poaceae","Elymus","","caninus","","","(L.) L.","Accepted","ELYCAN","Elymus  caninus  "
"Agropyron cristatum L. Gaertn.","Accepted","Poaceae","Agropyron","","cristatum","","","(L.) Gaertn.","Accepted","AGRCRI","Agropyron  cristatum  "
"Agropyron intermedium","Synonym","Poaceae","Elymus","","hispidus","","","(Opiz) Melderis","Accepted","ELYHIS","Elymus  hispidus  "
"Agropyron repens","Synonym","Poaceae","Elymus","","repens","","","(L.) Gould","Accepted","ELYREP","Elymus  repens  "
"Agrostis canina L.","Accepted","Poaceae","Agrostis","","canina","","","L.","Accepted","AGRCAN","Agrostis  canina  "
"Agrostis gigantea Roth.","Accepted","Poaceae","Agrostis","","gigantea","","","Roth","Accepted","AGRGIG","Agrostis  gigantea  "
"Agrostis tenuis Sibth.","Synonym","Poaceae","Agrostis","","capillaris","","","L.","Accepted","AGRCAP","Agrostis  capillaris  "
"Alopecurus pratensis L","Accepted","Poaceae","Alopecurus","","pratensis","","","L.","Accepted","ALOPRA","Alopecurus  pratensis  "
"Ammophila arenaria Link","Accepted","Poaceae","Ammophila","","arenaria","","","(L.) Link","Accepted","AMMARE","Ammophila  arenaria  "
"Anthoxanthum oduratum L.","Accepted","Poaceae","Anthoxanthum","","odoratum","","","L.","Accepted","ANTODO","Anthoxanthum  odoratum  "
